source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
93,19,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,TSC,TE200,Impresora etiquetadora,TEA22074627,202419723,74084043-0009,USB,,,,,,,Activa,IMPORTAR,
94,20,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,FUJITSU,FI-6800,Escaner,,202419724,74080050-0085,USB,,,,,,,Activa,IMPORTAR,
95,21,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,TSC,TE200,Impresora etiquetadora,TEA22074612,202436151,74084043-0007,USB,,,,,,,Activa,IMPORTAR,
96,22,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,TSC,TE200,Impresora etiquetadora,TEA22074609,202419710,74084043-0001,USB,,,,,,,Activa,IMPORTAR,
97,23,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,FUJITSU,FI-7900,Escaner,,202419711,,USB,,,,,,,Activa,IMPORTAR,
98,5,Sede Central,Presidencia Ejecutiva,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900250,202415389,,IP,172.16.23.128,KM09CAF9,,,,,Activa,IMPORTAR,
100,123,Sede Central,Oficina de Asesoria Juridica,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900261,202414775,74222358-0369,IP,172.16.23.129,KM09CB1E,,,,,Activa,IMPORTAR,
101,31,Sede Central,Direccion de Gestion de la Innovacion Agraria,,FUJITSU,FI-7900,Escaner,C2WC000859,202412147,74080050-0092,USB,,,,,,,Activa,IMPORTAR,
102,33,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Promocion de la Innovacion Agraria,HP,LASERJET PRO MFP M127FN,Impresora laser,BRBSG7FVKZ,202412379,,USB,,,,,,,Activa,IMPORTAR,
103,35,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Promocion de la Innovacion Agraria,EPSON,L310,Impresora de inyeccion a color,VHLK004899,202411760,,USB,,,,,,,Activa,IMPORTAR,
104,36,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Promocion de la Innovacion Agraria,HP,HP LASERJET P1102W,Impresora laser,BRBSB6BG1J,202411762,74084100-0125,USB,,,,,,,Activa,IMPORTAR,
105,37,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Promocion de la Innovacion Agraria,HP,HP SCANJET 5590,Escaner,CN35HW0V0,202411766,74080050-0037,USB,,,,,,,Activa,IMPORTAR,
106,130,Sede Central,Oficina de Planeamiento y Presupuesto,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900258,202416182,74222358-0368,IP,172.16.23.130,KM09CB1A,,,,,Activa,IMPORTAR,
107,42,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Normatividad de la Innovacion Agraria,HP,LASERJET PRO MFP M426FDW,Impresora laser,BRBSHB182S,202419527,,USB,,,,,,,Activa,IMPORTAR,
108,43,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Normatividad de la Innovacion Agraria,HP,HP OFFICEJET PRO 251DW,Impresora de inyeccion a color,CN4COCV020,202419259,740836500039,USB,,,,,,,En mantenimiento,IMPORTAR,
109,45,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Supervision y Monitoreo,HP,LASERTJET PRO MFP M426FDW,Impresora laser,SRBSHBL81T,202405496,,USB,,,,,,,Activa,IMPORTAR,
110,47,Sede Central,Direccion de Servicios Estrategicos Agrarios,,HP,LASERTJET PRO MFP M426FDW,Impresora laser,BRBSHB1835,202405561,74084100-0104,USB,,,,,,,Activa,IMPORTAR,
111,52,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,HP,HP LASERJET 1536DNF MFP,Impresora laser,CNB9B84B71,202409098,,USB,,,,,,,Activa,IMPORTAR,
112,53,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,HP,HP LASERJET 1536DNF MFP,Impresora laser,CNB9B84B9R,202409327,,USB,,,,,,,Activa,IMPORTAR,
113,54,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,CANON,IMAGEPRESS C810,Imprenta digital a color,2NY06022,202416438,67505880-0005,USB,,,,,,,Activa,IMPORTAR,
114,56,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,HP,LASERJET PRO 400 MFP M425DN,Impresora laser,CNF8H7W84D,202416468,740841000147,USB,,,"CF280X
CF280A
12 MESES",,,,En mantenimiento,IMPORTAR,
115,57,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,HEIDELBERG,HEIDELBERG GTO,Imprenta offset,,202416480,67505880-0001,USB,,,,,,,Activa,IMPORTAR,
116,58,Sede Central,Direccion de Servicios Estrategicos Agrarios,Subdireccion de Extension Agropecuario,GM3,SFML-720,Laminadora,20103002,202416486,67506374-0001,USB,,,,,,,Activa,IMPORTAR,
117,59,Sede Central,Direccion de Servicios Estrategicos Agrarios,,HP,HP DESINGJET T650,Impresora plotter,CN29L4M04T,202405280,74085000-0006,USB,,,,,,,Activa,IMPORTAR,
118,60,Sede Central,Direccion de Recursos Geneticos y Biotecnologia,,HP,LASERJET PRO MFP M426FDW,Impresora laser,BRBSHB1831,202410187,74084100-0114,USB,,,,,,,Activa,IMPORTAR,
